timestamp,motor_amps,flow_mgd,discharge_pressure_psi,bearing_temp_f,vibration_ips
2026-09-09 12:00,40.5,4.20,17.9,146,0.16
2026-09-09 12:05,41.2,4.18,18.0,147,0.17
2026-09-09 12:10,42.0,4.17,18.0,149,0.18
2026-09-09 12:15,42.7,4.15,18.1,151,0.20
2026-09-09 12:20,43.5,4.14,18.2,154,0.23
2026-09-09 12:25,44.1,4.12,18.2,157,0.26
2026-09-09 12:30,44.8,4.11,18.3,160,0.29
2026-09-09 12:35,45.2,4.09,18.3,163,0.32
2026-09-09 12:40,46.0,4.08,18.4,167,0.35
2026-09-09 12:45,46.4,4.07,18.4,170,0.39
2026-09-09 12:50,47.1,4.05,18.5,174,0.43
2026-09-09 12:55,47.8,4.04,18.5,178,0.47
