asset_id,assessment_date,condition_score,condition_rating,visual_findings,recommended_action,risk_level,alignment_offset_mils,seal_leakage_gph,insulation_resistance_megohm,oil_condition,estimated_rul_months,source
RAS-P-003,2026-06-10,56,Poor,Bearing vibration elevated; lubrication condition degraded,Bearing replacement planning; verify lubrication route,High,2.0,0.18,125.0,Degraded,24,dummy-condition-assessment
WAS-P-0102,2026-07-11,66,Fair,Reduced hydraulic capacity; intermittent debris signatures,Inspect suction path and impeller at next outage,Medium,1.6,0.09,116.5,Acceptable,33,dummy-condition-assessment
INF-P-0103,2026-08-12,63,Fair,Alignment offset and elevated axial vibration,Laser alignment and soft-foot check recommended,Medium,1.4,0.24,108.0,Acceptable,24,dummy-condition-assessment
EFF-P-0104,2026-06-13,73,Fair,Hydraulic loading elevated; downstream restriction suspected,Verify valve lineup and system head,Medium,0.8,0.09,99.5,Acceptable,33,dummy-condition-assessment
SMP-P-0105,2026-07-14,56,Poor,Pitting at impeller eye and suction-side erosion consistent with cavitation,"Verify suction submergence, restrictions, air ingress, and NPSH margin",High,1.9,0.28,91.0,Degraded,18,dummy-condition-assessment
CHEM-P-0106,2026-08-15,68,Fair,Minor seal leakage and seal-area temperature rise,Inspect seal flush and mechanical seal condition,Medium,1.1,0.06,82.5,Acceptable,33,dummy-condition-assessment
RAS-P-0201,2026-06-16,66,Fair,Reduced hydraulic capacity; intermittent debris signatures,Inspect suction path and impeller at next outage,Medium,1.5,0.10,74.0,Acceptable,30,dummy-condition-assessment
WAS-P-0202,2026-07-17,63,Fair,Alignment offset and elevated axial vibration,Laser alignment and soft-foot check recommended,Medium,1.3,0.25,125.0,Acceptable,21,dummy-condition-assessment
INF-P-0203,2026-08-18,73,Fair,Hydraulic loading elevated; downstream restriction suspected,Verify valve lineup and system head,Medium,1.0,0.06,116.5,Acceptable,42,dummy-condition-assessment
EFF-P-0204,2026-06-19,90,Good,No material defects noted; normal age-related wear,Continue preventive maintenance,Low,0.5,0.03,108.0,Acceptable,69,dummy-condition-assessment
SMP-P-0205,2026-07-20,68,Fair,Minor seal leakage and seal-area temperature rise,Inspect seal flush and mechanical seal condition,Medium,1.0,0.07,99.5,Acceptable,30,dummy-condition-assessment
CHEM-P-0206,2026-08-21,57,Poor,Bearing vibration elevated; lubrication condition degraded,Bearing replacement planning; verify lubrication route,High,2.2,0.21,91.0,Degraded,15,dummy-condition-assessment
RAS-P-0301,2026-06-22,63,Fair,Alignment offset and elevated axial vibration,Laser alignment and soft-foot check recommended,Medium,1.2,0.22,82.5,Acceptable,30,dummy-condition-assessment
WAS-P-0302,2026-07-23,73,Fair,Hydraulic loading elevated; downstream restriction suspected,Verify valve lineup and system head,Medium,0.9,0.07,74.0,Acceptable,39,dummy-condition-assessment
INF-P-0303,2026-08-24,56,Poor,Pitting at impeller eye and suction-side erosion consistent with cavitation,"Verify suction submergence, restrictions, air ingress, and NPSH margin",High,2.0,0.30,125.0,Degraded,12,dummy-condition-assessment
EFF-P-0304,2026-06-10,68,Fair,Minor seal leakage and seal-area temperature rise,Inspect seal flush and mechanical seal condition,Medium,0.9,0.08,116.5,Acceptable,27,dummy-condition-assessment
SMP-P-0305,2026-07-11,57,Poor,Bearing vibration elevated; lubrication condition degraded,Bearing replacement planning; verify lubrication route,High,2.1,0.18,108.0,Degraded,24,dummy-condition-assessment
CHEM-P-0306,2026-08-12,67,Fair,Reduced hydraulic capacity; intermittent debris signatures,Inspect suction path and impeller at next outage,Medium,1.7,0.09,99.5,Acceptable,33,dummy-condition-assessment
RAS-P-0401,2026-06-13,73,Fair,Hydraulic loading elevated; downstream restriction suspected,Verify valve lineup and system head,Medium,0.8,0.08,91.0,Acceptable,36,dummy-condition-assessment
WAS-P-0402,2026-07-14,90,Good,No material defects noted; normal age-related wear,Continue preventive maintenance,Low,0.6,0.05,82.5,Acceptable,63,dummy-condition-assessment
INF-P-0403,2026-08-15,68,Fair,Minor seal leakage and seal-area temperature rise,Inspect seal flush and mechanical seal condition,Medium,1.1,0.05,74.0,Acceptable,36,dummy-condition-assessment
EFF-P-0404,2026-06-16,57,Poor,Bearing vibration elevated; lubrication condition degraded,Bearing replacement planning; verify lubrication route,High,2.0,0.19,125.0,Degraded,21,dummy-condition-assessment
SMP-P-0405,2026-07-17,67,Fair,Reduced hydraulic capacity; intermittent debris signatures,Inspect suction path and impeller at next outage,Medium,1.6,0.10,116.5,Acceptable,30,dummy-condition-assessment
CHEM-P-0406,2026-08-18,64,Fair,Alignment offset and elevated axial vibration,Laser alignment and soft-foot check recommended,Medium,1.4,0.25,108.0,Acceptable,21,dummy-condition-assessment
